card_id,playerClass,type,name,set,text,mana cost,attack,health,rarity,collectible,flavor,sentiment
AT_024,WARLOCK,SPELL,Demonfuse,TGT,Give a Demon +3/+3. Give your opponent a Mana Crystal.,2,0,0,COMMON,TRUE,Very dangerous when attached to a demonbomb.,very negative
OG_024,SHAMAN,MINION,Flamewreathed Faceless,OG,<b>Overload:</b> (2),4,7,7,COMMON,TRUE,He's on fire! Boomshakalaka!,very positive
CS2_039,SHAMAN,SPELL,Windfury,CORE,Give a minion <b>Windfury</b>.,2,0,0,FREE,TRUE,"Windfury is like Earthfury and Firefury, but more light and airy.",neutral
OG_158,NEUTRAL,MINION,Zealous Initiate,OG,<b>Deathrattle:</b> Give a random friendly minion +1/+1.,1,1,1,COMMON,TRUE,"Ok, Initiate. You need to settle down and do your job. In this case, that means die so someone else can get a minor buff.",neutral
OG_211,HUNTER,SPELL,Call of the Wild,OG,Summon all three Animal Companions.,9,0,0,EPIC,TRUE,"""Hello. Misha, Leokk and Huffer aren't here right now, but if you leave a message we'll get back to you right away."" BEEP.",very negative
GVG_069,NEUTRAL,MINION,Antique Healbot,GVG,<b>Battlecry:</b> Restore 8 Health to your hero.,5,3,3,COMMON,TRUE,"They don't make 'em like they used to! (Because of explosions, mostly.)",negative
OG_101,PRIEST,SPELL,Forbidden Shaping,OG,Spend all your Mana. Summon a random minion that costs that much.,0,0,0,EPIC,TRUE,But the minion arrives covered in goo.,neutral
CS2_094,PALADIN,SPELL,Hammer of Wrath,CORE,"Deal $3 damage.
Draw a card.",4,0,0,FREE,TRUE,"A good paladin has many tools.  Hammer of Wrath, Pliers of Vengeance, Hacksaw of Justice, etc.",positive
GVG_072,PRIEST,MINION,Shadowboxer,GVG,"Whenever a character is healed, deal 1 damage to a random enemy.",2,2,3,RARE,TRUE,"Punching is its primary function. Also, its secondary function.",positive
OG_145,NEUTRAL,MINION,Psych-o-Tron,OG,"<b>Taunt</b>
<b>Divine Shield</b>",5,3,4,COMMON,TRUE,"""Annoyinger-o-Tron"" was just too unwieldy. And accurate.",negative
OG_313,DRUID,MINION,Addled Grizzly,OG,"After you summon a minion, give it +1/+1.",3,2,2,RARE,TRUE,"Druids who spend too long in bear form are more susceptible to the whispers of the Old Gods.  Right now they are whispering the lyrics to ""La Bamba"".",negative
AT_090,NEUTRAL,MINION,Mukla's Champion,TGT,<b>Inspire:</b> Give your other minions +1/+1.,5,4,3,COMMON,TRUE,"An elegant gorilla, for a more civilized age.",very positive
KAR_035,PRIEST,MINION,Priest of the Feast,KARA,"Whenever you cast a spell, restore 3 Health to
your hero.",4,3,6,COMMON,TRUE,Now that's a world champion cheesecake!,very positive
AT_060,HUNTER,SPELL,Bear Trap,TGT,"<b>Secret:</b> After your hero is attacked, summon a 3/3 Bear with <b>Taunt</b>.",2,0,0,COMMON,TRUE,"You'll never guess what's in that conveniently bear-sized, bear-smelling box.",very positive
GVG_115,NEUTRAL,MINION,Toshley,GVG,<b>Battlecry and Deathrattle:</b> Add a <b>Spare Part</b> card to your hand.,6,5,7,LEGENDARY,TRUE,Something about power converters.,neutral
CFM_602,DRUID,SPELL,Jade Idol,GANGS,<b>Choose One -</b> Summon a{1} {0} <b>Jade Golem</b>; or Shuffle 3 copies of this card into your deck.,1,0,0,RARE,TRUE,Shuffle or no guts.,very negative
CS2_141,NEUTRAL,MINION,Ironforge Rifleman,CORE,<b>Battlecry:</b> Deal 1 damage.,3,2,2,COMMON,TRUE,"""Ready! Aim! Drink!""",very positive
CFM_312,SHAMAN,MINION,Jade Chieftain,GANGS,<b>Battlecry:</b> Summon a{1} {0} <b>Jade Golem</b>. Give it <b>Taunt</b>.,7,5,5,COMMON,TRUE,"Seeing his Jade Golem grow up into the tall, handsome 6/6 standing before him was the proudest moment of his life.",very positive
CS2_063,WARLOCK,SPELL,Corruption,CORE,"Choose an enemy minion. At the start of your turn, destroy it.",1,0,0,COMMON,TRUE,"It starts with stealing a pen from work, and before you know it, BOOM!  Corrupted!",very negative
EX1_383,PALADIN,MINION,Tirion Fordring,EXPERT1,<b>Divine Shield</b>. <b>Taunt</b>. <b>Deathrattle:</b> Equip a 5/3 Ashbringer.,8,6,6,LEGENDARY,TRUE,"If you haven't heard the Tirion Fordring theme song, it's because it doesn't exist.",negative
CFM_755,WARRIOR,MINION,Grimestreet Pawnbroker,GANGS,<b>Battlecry:</b> Give a random weapon in your hand +1/+1.,3,3,3,RARE,TRUE,"""I don't know a lot about used GvG cards, so I'm going to have to call in an expert.""",positive
AT_077,PALADIN,WEAPON,Argent Lance,TGT,"<b>Battlecry:</b> Reveal a minion in each deck. If yours costs more, +1 Durability.",2,2,0,RARE,TRUE,"The stripes make it look like a candy cane, but we recommend against licking it.",neutral
EX1_366,PALADIN,WEAPON,Sword of Justice,EXPERT1,"After you summon a minion, give it +1/+1 and this loses 1 Durability.",3,1,0,EPIC,TRUE,I dub you Sir Loin of Beef!,very negative
AT_085,NEUTRAL,MINION,Maiden of the Lake,TGT,Your Hero Power costs (1).,4,2,6,COMMON,TRUE,Not a good basis for a system of government.,negative
CS2_064,WARLOCK,MINION,Dread Infernal,CORE,<b>Battlecry:</b> Deal 1 damage to ALL other characters.,6,6,6,COMMON,TRUE,"""INFERNOOOOOOOOOO!"" - Jaraxxus, Eredar Lord of the Burning Legion",very positive
CS2_213,NEUTRAL,MINION,Reckless Rocketeer,CORE,<b>Charge</b>,6,5,2,FREE,TRUE,One Insane Rocketeer.   One Rocket full of Explosives.   Infinite Fun.,very positive
CS2_062,WARLOCK,SPELL,Hellfire,CORE,Deal $3 damage to ALL characters.,4,0,0,FREE,TRUE,It's spells like these that make it hard for Warlocks to get decent help.,positive
AT_019,WARLOCK,MINION,Dreadsteed,TGT,<b>Deathrattle:</b> Summon a Dreadsteed.,4,1,1,EPIC,TRUE,"Crescendo himself summoned this steed, riding it to victory in the Grand Tournament.  Wherever he rides, an army of riders ride behind him, supporting the legendary champion.",very positive
EX1_162,NEUTRAL,MINION,Dire Wolf Alpha,EXPERT1,Adjacent minions have +1 Attack.,2,2,2,COMMON,TRUE,"We are pretty excited about the upcoming release of Dire Wolf Beta, just repost this sign for a chance at a key.",negative
CFM_751,WARLOCK,MINION,Abyssal Enforcer,GANGS,<b>Battlecry:</b> Deal 3 damage to all other characters.,7,6,6,COMMON,TRUE,The Kabal print this on every package of illicit Mana Crystals: WARNING - DO NOT PUT WITHIN REACH OF ABYSSALS. THIS IS NOT APPROVED FOR USE BY FLAMING DEMONS OF ANY KIND.,very negative
BRM_005,WARLOCK,SPELL,Demonwrath,BRM,Deal $2 damage to all non-Demon minions.,3,0,0,RARE,TRUE,Demons are not angry most of the time. You have to play this card in order to really bring it out of them.,very positive
GVG_051,WARRIOR,MINION,Warbot,GVG,<b>Enrage:</b> +1 Attack.,1,1,3,COMMON,TRUE,"Mass production of warbots was halted when it was discovered that they were accidentally being produced at ""sample size.""",negative
GVG_068,NEUTRAL,MINION,Burly Rockjaw Trogg,GVG,"Whenever your opponent casts a spell, gain +2 Attack.",4,3,5,COMMON,TRUE,He's burly because he does CrossFit.,neutral
OG_138,NEUTRAL,MINION,Nerubian Prophet,OG,"At the start of your turn, reduce this card's
Cost by (1).",6,4,4,COMMON,TRUE,Its a self-reducing prophecy.,very negative
GVG_106,NEUTRAL,MINION,Junkbot,GVG,"Whenever a friendly Mech dies, gain +2/+2.",5,1,5,EPIC,TRUE,One bot's junk is another bot's AWESOME UPGRADE!,very negative
EX1_556,NEUTRAL,MINION,Harvest Golem,EXPERT1,<b>Deathrattle:</b> Summon a 2/1 Damaged Golem.,3,2,3,COMMON,TRUE,"""Overheat threshold exceeded. System failure. Wheat clog in port two. Shutting down.""",very negative
AT_087,NEUTRAL,MINION,Argent Horserider,TGT,"<b>Charge</b>
<b>Divine Shield</b>",3,2,1,COMMON,TRUE,His horse's name is Betsy.,neutral
CFM_325,NEUTRAL,MINION,Small-Time Buccaneer,GANGS,Has +2 Attack while you have a weapon equipped.,1,1,2,RARE,TRUE,"""Oh, I'm not serious about it.  I only pirate on the weekends.""",negative
CS2_092,PALADIN,SPELL,Blessing of Kings,CORE,Give a minion +4/+4. <i>(+4 Attack/+4 Health)</i>,4,0,0,COMMON,TRUE,"Given the number of kings who have been assassinated, are you sure you want their blessing?",neutral
OG_256,NEUTRAL,MINION,Spawn of N'Zoth,OG,<b>Deathrattle:</b> Give your minions +1/+1.,3,2,2,COMMON,TRUE,Who's a cute widdle N'Zoth? You are! Yes you are! Yes you're the cutest widdle N'Zoth in the whole world!!!,very positive
EX1_407,WARRIOR,SPELL,Brawl,EXPERT1,Destroy all minions except one. <i>(chosen randomly)</i>,5,0,0,EPIC,TRUE,Do you know the first rule of Brawl Club?,very negative
AT_051,SHAMAN,SPELL,Elemental Destruction,TGT,Deal $4-$5 damage to all minions. <b>Overload:</b> (5).,3,0,0,EPIC,TRUE,"I'm not a shaman or anything, but isn't Elemental Destruction the opposite of what they want to do?",neutral
OG_045,HUNTER,SPELL,Infest,OG,"Give your minions ""<b>Deathrattle:</b> Add a random Beast to your hand.""",3,0,0,RARE,TRUE,The best part is the look on their face when you jump out of the cake! Err corpse.,positive
EX1_571,DRUID,SPELL,Force of Nature,EXPERT1,Summon three 2/2 Treants.,5,0,0,EPIC,TRUE,"""I think I'll just nap under these trees. Wait... AAAAAHHH!"" - Blinkfizz, the Unfortunate Gnome",very negative
EX1_561,NEUTRAL,MINION,Alexstrasza,EXPERT1,<b>Battlecry:</b> Set a hero's remaining Health to 15.,9,8,8,LEGENDARY,TRUE,Alexstrasza the Life-Binder brings life and hope to everyone.  Except Deathwing.  And Malygos.  And Nekros.,positive
OG_134,NEUTRAL,MINION,"Yogg-Saron, Hope's End",OG,<b>Battlecry:</b> Cast a random spell for each spell you've cast this game <i>(targets chosen randomly)</i>.,10,7,5,LEGENDARY,TRUE,I spell your doom... Y-O-U-R D-O-O-M!,very negative
OG_206,SHAMAN,SPELL,Stormcrack,OG,Deal $4 damage to a minion. <b>Overload:</b> (1),2,0,0,COMMON,TRUE,WARNING: DO NOT TOUCH THE PURPLE BALL OF LIGHTNING,very negative
NEW1_017,NEUTRAL,MINION,Hungry Crab,EXPERT1,<b>Battlecry:</b> Destroy a Murloc and gain +2/+2.,1,1,2,EPIC,TRUE,Murloc.  It's what's for dinner.,very positive
CFM_337,HUNTER,WEAPON,Piranha Launcher,GANGS,"[x]After your hero attacks,
summon a 1/1 Piranha.",5,2,0,EPIC,TRUE,A great improvement over the guppy launcher.,very positive
LOE_019,ROGUE,MINION,Unearthed Raptor,LOE,<b>Battlecry:</b> Choose a friendly minion. Gain a copy of its <b>Deathrattle</b> effect.,3,3,4,RARE,TRUE,Still hunting for the ones who earthed him.,positive
GVG_060,PALADIN,MINION,Quartermaster,GVG,<b>Battlecry:</b> Give your Silver Hand Recruits +2/+2.,5,2,5,EPIC,TRUE,His specialty? Dividing things into four pieces.,neutral
CFM_694,ROGUE,MINION,Shadow Sensei,GANGS,<b>Battlecry:</b> Give a <b>Stealthed</b> minion +2/+2.,4,4,4,RARE,TRUE,"He used to be Aya's tutor, but she fired him for bugging her too much.",neutral
EX1_283,NEUTRAL,MINION,Frost Elemental,EXPERT1,<b>Battlecry:</b> <b>Freeze</b> a character.,6,5,5,COMMON,TRUE,When a Water elemental and an Ice elemental love each other VERY much...,very positive
GVG_121,NEUTRAL,MINION,Clockwork Giant,GVG,Costs (1) less for each card in your opponent's hand.,12,8,8,EPIC,TRUE,He and Mountain Giant don't get along.,negative
NEW1_014,ROGUE,MINION,Master of Disguise,EXPERT1,<b>Battlecry:</b> Give a friendly minion <b>Stealth</b> until your next turn.,4,4,4,RARE,TRUE,"She's actually a male tauren.  People don't call him ""Master of Disguise"" for nothing.",very negative
LOE_027,PALADIN,SPELL,Sacred Trial,LOE,"<b>Secret:</b> After your opponent has at least 3 minions and plays another, destroy it.",1,0,0,COMMON,TRUE,You have chosen poorly.,negative
LOE_086,NEUTRAL,MINION,Summoning Stone,LOE,"Whenever you cast a spell, summon a random minion of the same Cost.",5,0,6,RARE,TRUE,Sometimes it feels like it's always the same slackers that are waiting for a summon.,neutral
FP1_022,WARLOCK,MINION,Voidcaller,NAXX,<b>Deathrattle:</b> Put a random Demon from your hand into the battlefield.,4,3,4,COMMON,TRUE,"""Void!  Here, void!  Here, buddy!""",very negative
AT_129,NEUTRAL,MINION,Fjola Lightbane,TGT,"Whenever <b>you</b> target this minion with a spell, gain <b>Divine Shield.</b>",3,3,4,LEGENDARY,TRUE,"LOVES being called ""the wonder twins"".",very positive
CFM_336,HUNTER,MINION,Shaky Zipgunner,GANGS,"[x]<b>Deathrattle:</b> Give a random
minion in your hand +2/+2.",3,3,3,COMMON,TRUE,The Grimy Goons can get you any weapon you want but if you want it to not explode you gotta pay extra.,neutral
AT_028,ROGUE,MINION,Shado-Pan Rider,TGT,<b>Combo:</b> Gain +3 Attack.,5,3,7,COMMON,TRUE,"He needed a break after that business in the Vale of Eternal Blossoms. Naturally, he chose to spend his vacation in an icy snowscape killing monsters.",negative
OG_221,PALADIN,MINION,Selfless Hero,OG,<b>Deathrattle:</b> Give a random friendly minion <b>Divine Shield</b>.,1,2,1,RARE,TRUE,"""Don't worry about me I'll just be here... under these tentacles.""",very positive
FP1_030,NEUTRAL,MINION,Loatheb,NAXX,<b>Battlecry:</b> Enemy spells cost (5) more next turn.,5,5,5,LEGENDARY,TRUE,Loatheb used to be a simple Bog Beast.  This is why we need stricter regulations on mining and agriculture.,very negative
CS2_127,NEUTRAL,MINION,Silverback Patriarch,CORE,<b>Taunt</b>,3,1,4,COMMON,TRUE,"He likes to act like he's in charge, but the silverback matriarch actually runs things.",neutral
GVG_103,NEUTRAL,MINION,Micro Machine,GVG,"At the start of each turn, gain +1 Attack.",2,1,2,COMMON,TRUE,This card is the real thing.,very positive
LOE_092,NEUTRAL,MINION,Arch-Thief Rafaam,LOE,<b>Battlecry: Discover</b> a powerful Artifact.,9,7,8,LEGENDARY,TRUE,He's very good at retrieving artifacts.  From other people's museums.,positive
AT_030,ROGUE,MINION,Undercity Valiant,TGT,<b>Combo:</b> Deal 1 damage.,2,3,2,COMMON,TRUE,Almost went to play for Stormwind before signing with Undercity.,negative
GVG_061,PALADIN,SPELL,Muster for Battle,GVG,Summon three 1/1 Silver Hand Recruits. Equip a 1/4 Weapon.,3,0,0,RARE,TRUE,"""I'm bringing the guacamole!""  One of the most successful (yet rare) Silver Hand rallying cries",very positive
EX1_005,NEUTRAL,MINION,Big Game Hunter,EXPERT1,<b>Battlecry:</b> Destroy a minion with 7 or more Attack.,5,4,2,EPIC,TRUE,Mere devilsaurs no longer excite him.  Soon he'll be trying to catch Onyxia with only a dull Krol Blade.,neutral
AT_118,NEUTRAL,MINION,Grand Crusader,TGT,<b>Battlecry:</b> Add a random Paladin card to your hand.,6,5,5,EPIC,TRUE,"A veteran of a number of crusades, she is a force for light and goodness.  Her latest crusade is against goblin telemarketers.",positive
AT_111,NEUTRAL,MINION,Refreshment Vendor,TGT,<b>Battlecry:</b> Restore 4 Health to each hero.,4,3,5,COMMON,TRUE,"Menu:  Funnel cakes, carrots, popcorn, jormungar steaks.  It's hard serving a diverse clientele.",neutral
EX1_317,WARLOCK,SPELL,Sense Demons,EXPERT1,"Draw 2 Demons
from your deck.",3,0,0,COMMON,TRUE,Generally demons are pretty obvious and you dont need a spell to sense them.,neutral
AT_026,WARLOCK,MINION,Wrathguard,TGT,"Whenever this minion takes damage, also deal that amount to your hero.",2,4,3,COMMON,TRUE,"After playing against 5 Annoy-O-Trons, any normal guard will become a Wrathguard.",very positive
CFM_670,NEUTRAL,MINION,Mayor Noggenfogger,GANGS,All targets are chosen randomly.,9,5,4,LEGENDARY,TRUE,"This flavor text was randomly generated.  If it happens to form words and make sense, that is purely by chance.",negative
EX1_250,SHAMAN,MINION,Earth Elemental,EXPERT1,<b>Taunt</b>. <b>Overload:</b> (3),5,7,8,EPIC,TRUE,Nothing beats rock.,very negative
EX1_341,PRIEST,MINION,Lightwell,EXPERT1,"At the start of your turn, restore 3 Health to a damaged friendly character.",2,0,5,RARE,TRUE,"It isn't clear if people ignore the Lightwell, or if it is just invisible.",neutral
EX1_619,PALADIN,SPELL,Equality,EXPERT1,Change the Health of ALL minions to 1.,2,0,0,RARE,TRUE,We are all special unique snowflakes... with 1 Health.,very positive
AT_113,NEUTRAL,MINION,Recruiter,TGT,<b>Inspire:</b> Add a 2/2 Squire to your hand.,5,5,4,EPIC,TRUE,Join the Argent Crusade!  We have attractive tabards and you get to carry really nice swords!,very positive
CFM_603,PRIEST,SPELL,Potion of Madness,GANGS,Gain control of an enemy minion with 2 or less Attack until end of turn.,1,0,0,COMMON,TRUE,You'd be insane NOT to drink it!,very negative
CS2_197,NEUTRAL,MINION,Ogre Magi,CORE,<b>Spell Damage +1</b>,4,4,4,COMMON,TRUE,Training Ogres in the art of spellcasting is a questionable decision.,neutral
EX1_058,NEUTRAL,MINION,Sunfury Protector,EXPERT1,<b>Battlecry:</b> Give adjacent minions <b>Taunt</b>.,2,2,3,RARE,TRUE,"She carries a shield, but only so she can give it to someone she can stand behind.",neutral
GVG_099,NEUTRAL,MINION,Bomb Lobber,GVG,<b>Battlecry:</b> Deal 4 damage to a random enemy minion.,5,3,3,RARE,TRUE,He lobbies Orgrimmar daily on behalf of bombs.,positive
OG_234,PRIEST,MINION,Darkshire Alchemist,OG,<b>Battlecry:</b> Restore 5 Health.,5,4,5,COMMON,TRUE,The secret ingredient: liquified funnel cake.,very positive
GVG_055,WARRIOR,MINION,Screwjank Clunker,GVG,<b>Battlecry:</b> Give a friendly Mech +2/+2.,4,2,5,RARE,TRUE,"If it breaks, just kick it a couple of times while yelling ""Durn thing!""",negative
EX1_247,SHAMAN,WEAPON,Stormforged Axe,EXPERT1,<b>Overload:</b> (1),2,2,0,COMMON,TRUE,"Yo, that's a nice axe.",positive
CS2_142,NEUTRAL,MINION,Kobold Geomancer,CORE,<b>Spell Damage +1</b>,2,2,2,COMMON,TRUE,"In the old days, Kobolds were the finest candle merchants in the land. Then they got pushed too far...",negative
OG_083,MAGE,MINION,Twilight Flamecaller,OG,<b>Battlecry:</b> Deal 1 damage to all enemy minions.,3,2,2,COMMON,TRUE,Make sure you summon a Twilight Marshmallowcaller too! Mmmm Mmm Mmm!!,very positive
EX1_243,SHAMAN,MINION,Dust Devil,EXPERT1,<b>Windfury</b>. <b>Overload:</b> (2),1,3,1,COMMON,TRUE,Westfall is full of dust devils. And buzzards. And crazed golems. And pirates. Why does anyone live here?,very negative
CFM_717,SHAMAN,WEAPON,Jade Claws,GANGS,"<b>Battlecry:</b> Summon a{1} {0} <b>Jade Golem</b>.
<b><b>Overload</b>:</b> (1)",2,2,0,RARE,TRUE,"""Best manicure ever!"" - Aya Blackpaw",very positive
EX1_083,NEUTRAL,MINION,Tinkmaster Overspark,EXPERT1,"[x]<b>Battlecry:</b> Transform
another random minion
into a 5/5 Devilsaur
 or a 1/1 Squirrel.",3,3,3,LEGENDARY,TRUE,Tinkmaster Overspark nearly lost his Tinker's license after the Great Ironforge Squirrel Stampede of '09.,very negative
OG_202,DRUID,MINION,Mire Keeper,OG,"[x]<b>Choose One -</b> Summon a
2/2 Slime; or Gain an
empty Mana Crystal.",4,3,3,RARE,TRUE,"""Hey.... Is that Mire for sale?"" 
""No.  I'm keeping it.""",very negative
CS2_011,DRUID,SPELL,Savage Roar,CORE,Give your characters +2 Attack this turn.,3,0,0,COMMON,TRUE,"What do they roar? Nobody can quite tell, but it sounds like ""Elephant Macho Breeze"".  It's probably not that, though.",neutral
CFM_609,NEUTRAL,MINION,Fel Orc Soulfiend,GANGS,"At the start of your turn, deal 2 damage to this minion.",3,3,7,EPIC,TRUE,"""Doc says the persistent burning sensation in my soul is probably just an ulcer.""",negative
LOE_026,PALADIN,SPELL,Anyfin Can Happen,LOE,Summon 7 Murlocs that died this game.,10,0,0,RARE,TRUE,Theme song by Ellie Goldfin and Blagghghlrlrl Harris.,positive
EX1_126,ROGUE,SPELL,Betrayal,EXPERT1,Force an enemy minion to deal its damage to the minions next to it.,2,0,0,COMMON,TRUE,"Everyone has a price. Gnomes, for example, can be persuaded by stuffed animals and small amounts of chocolate.",positive
EX1_050,NEUTRAL,MINION,Coldlight Oracle,EXPERT1,<b>Battlecry:</b> Each player draws 2 cards.,3,2,2,RARE,TRUE,They can see the future.   In that future both players draw more cards.   Spoooky.,positive
OG_179,HUNTER,MINION,Fiery Bat,OG,<b>Deathrattle:</b> Deal 1 damage to a random enemy.,1,2,1,COMMON,TRUE,He'll always be our first.,very positive
CFM_855,NEUTRAL,MINION,Defias Cleaner,GANGS,<b>Battlecry:</b> <b>Silence</b> a minion with <b>Deathrattle</b>.,6,5,7,EPIC,TRUE,His house cleaning service is quite thorough.  Not a spot to be found... or any of your stuff!,positive
EX1_008,NEUTRAL,MINION,Argent Squire,EXPERT1,<b>Divine Shield</b>,1,1,1,COMMON,TRUE,"""I solemnly swear to uphold the Light, purge the world of darkness, and to eat only burritos."" - The Argent Dawn Oath",very positive
AT_062,HUNTER,SPELL,Ball of Spiders,TGT,Summon three 1/1 Webspinners.,6,0,0,RARE,TRUE,"""THEY'RE EVERYWHERE GET THEM OFF!!!"" - Everyone",very negative
EX1_538,HUNTER,SPELL,Unleash the Hounds,EXPERT1,"For each enemy minion, summon a 1/1 Hound with <b>Charge</b>.",3,0,0,COMMON,TRUE,You must read the name of this card out loud each time you play it.,very positive
OG_153,NEUTRAL,MINION,Bog Creeper,OG,<b>Taunt</b>,7,6,8,COMMON,TRUE,"He's tried other things, but bog sidling, bog ambling, and bog trundling just aren't as effective as bog creeping.",neutral
EX1_410,WARRIOR,SPELL,Shield Slam,EXPERT1,Deal 1 damage to a minion for each Armor you have.,1,0,0,EPIC,TRUE,"""What is a better weapon? The sharp one your enemies expect, or the blunt one they ignore?"" - The Art of Warrior, Chapter 9",positive
CFM_657,PRIEST,MINION,Kabal Songstealer,GANGS,[x]<b>Battlecry:</b> <b>Silence</b> a minion.,5,5,5,COMMON,TRUE,Gadgetzan Writers Award goes to the player who writes the most compelling fanfic about why this Arrakoa has a golden frog in his hand!,very positive
EX1_560,NEUTRAL,MINION,Nozdormu,EXPERT1,Players only have 15 seconds to take their turns.,9,8,8,LEGENDARY,TRUE,Time to write some flavor text.,neutral
NEW1_038,NEUTRAL,MINION,Gruul,EXPERT1,"At the end of each turn, gain +1/+1 .",8,7,7,LEGENDARY,TRUE,"He's Gruul ""the Dragonkiller"".  He just wanted to cuddle them he never meant to",negative
CFM_614,DRUID,SPELL,Mark of the Lotus,GANGS,Give your minions +1/+1.,1,0,0,COMMON,TRUE,The mark of the Lotus is a little flower drawn in permanent marker on the ankle.,positive
CFM_667,NEUTRAL,MINION,Bomb Squad,GANGS,"[x]<b>Battlecry:</b> Deal 5 damage
to an enemy minion.
<b>Deathrattle:</b> Deal 5 damage
to your hero.",5,2,2,RARE,TRUE,Please don't explode!  Please don't explode!  Please don't explode!,very negative
LOE_006,PRIEST,MINION,Museum Curator,LOE,<b>Battlecry: Discover</b> a <b>Deathrattle</b> card.,2,1,2,COMMON,TRUE,He is forever cursing the kids who climb on the rails and the evil archeologists who animate the exhibits.,very positive
GVG_107,NEUTRAL,MINION,Enhance-o Mechano,GVG,"<b>Battlecry:</b> Give your other minions <b>Windfury</b>, <b>Taunt</b>, or <b>Divine Shield</b>
<i>(at random)</i>.",4,3,2,EPIC,TRUE,His enhancements are gluten free!,very positive
GVG_091,NEUTRAL,MINION,Arcane Nullifier X-21,GVG,"<b>Taunt</b>
Can't be targeted by spells or Hero Powers.",4,2,5,RARE,TRUE,There was some hard talk between gnome magi and engineers about inventing this mech.,neutral
EX1_279,MAGE,SPELL,Pyroblast,EXPERT1,Deal $10 damage.,10,0,0,EPIC,TRUE,Take the time for an evil laugh after you draw this card.,very positive
EX1_110,NEUTRAL,MINION,Cairne Bloodhoof,EXPERT1,<b>Deathrattle:</b> Summon a 4/5 Baine Bloodhoof.,6,4,5,LEGENDARY,TRUE,"Cairne was killed by Garrosh, so... don't put this guy in a Warrior deck.  It's pretty insensitive.",negative
AT_023,WARLOCK,MINION,Void Crusher,TGT,<b>Inspire:</b> Destroy a random minion for each player.,6,5,4,RARE,TRUE,"We like to call him ""Wesley"".",very positive
EX1_411,WARRIOR,WEAPON,Gorehowl,EXPERT1,Attacking a minion costs 1 Attack instead of 1 Durability.,7,7,0,EPIC,TRUE,Grommash Hellscream's famous axe.  Somehow this ended up in Prince Malchezaar's possession.  Quite the mystery!,neutral
GVG_093,NEUTRAL,MINION,Target Dummy,GVG,<b>Taunt</b>,0,0,2,RARE,TRUE,"The engineering equivalent of a ""Kick Me"" sticker.",very positive
AT_009,MAGE,MINION,Rhonin,TGT,<b>Deathrattle:</b> Add 3 copies of Arcane Missiles to your hand.,8,7,7,LEGENDARY,TRUE,A masterless shamurai.,very positive
AT_133,NEUTRAL,MINION,Gadgetzan Jouster,TGT,"<b>Battlecry:</b> Reveal a minion in each deck. If yours costs more, gain +1/+1.",1,1,2,COMMON,TRUE,It's not HER fault you didn't put a spinning saw blade on your horse.,neutral
EX1_315,WARLOCK,MINION,Summoning Portal,EXPERT1,"Your minions cost (2) less, but not less than (1).",4,0,4,COMMON,TRUE,NOT LESS THAN 1!  Don't get any ideas!,very negative
